body_type,body_type_name,local_body_code,local_body_name,assembly_constituency_no,assembly_constituency,mapped_wards_in_constituency,total_mapped_wards,dominant_share,split_constituencies,udf_wins,ldf_wins,nda_wins,oth_wins,ruling_front,ruling_front_count,second_front,second_front_count,third_front,third_front_count
G,Grama Panchayat,G03017,Ezhumattoor Gramapanchayath,112,Ranni,15,15,1.0000,1,7,1,2,5,UDF,7,OTH,5,NDA,2
G,Grama Panchayat,G03018,Puramattam Gramapanchayath,111,Thiruvalla,13,14,0.9286,2,7,5,0,2,UDF,7,LDF,5,OTH,2
G,Grama Panchayat,G03019,Omalloor Gramapanchayath,113,Aranmula,15,15,1.0000,1,6,2,7,0,NDA,7,UDF,6,LDF,2
G,Grama Panchayat,G03020,Chenneerkara Gramapanchayath,113,Aranmula,15,15,1.0000,1,10,4,1,0,UDF,10,LDF,4,NDA,1
G,Grama Panchayat,G03021,Elanthoor Gramapanchayath,113,Aranmula,14,14,1.0000,1,9,1,4,0,UDF,9,NDA,4,LDF,1
G,Grama Panchayat,G03022,Cherukole Gramapanchayath,112,Ranni,14,14,1.0000,1,2,6,5,1,LDF,6,NDA,5,UDF,2
G,Grama Panchayat,G03023,Kozhanchery Gramapanchayath,113,Aranmula,14,14,1.0000,1,6,3,2,3,UDF,6,LDF,3,OTH,3
G,Grama Panchayat,G03024,Mallappuzhassery Gramapanchayath,113,Aranmula,14,14,1.0000,1,8,1,3,2,UDF,8,NDA,3,OTH,2
G,Grama Panchayat,G03025,Naranganam Gramapanchayath,113,Aranmula,14,14,1.0000,1,6,2,6,0,UDF,6,NDA,6,LDF,2
G,Grama Panchayat,G03026,Ranni Pazhavangadi Gramapanchayath,112,Ranni,17,17,1.0000,1,10,3,1,3,UDF,10,LDF,3,OTH,3
G,Grama Panchayat,G03027,Ranni Gramapanchayath,112,Ranni,14,14,1.0000,1,3,9,1,1,LDF,9,UDF,3,NDA,1
G,Grama Panchayat,G03028,Ranni Angadi Gramapanchayath,112,Ranni,14,14,1.0000,1,9,2,0,3,UDF,9,OTH,3,LDF,2
G,Grama Panchayat,G03029,Ranni Perunadu Grama Panchayat,112,Ranni,16,16,1.0000,1,3,10,3,0,LDF,10,UDF,3,NDA,3
G,Grama Panchayat,G03030,Vadasserikkara Gramapanchayath,112,Ranni,16,16,1.0000,1,12,2,2,0,UDF,12,LDF,2,NDA,2
G,Grama Panchayat,G03031,Chittar Gramapanchayath,114,Konni,14,14,1.0000,1,6,7,0,1,LDF,7,UDF,6,OTH,1
G,Grama Panchayat,G03032,Seethathodu Gramapanchayath,114,Konni,14,14,1.0000,1,3,10,0,1,LDF,10,UDF,3,OTH,1
G,Grama Panchayat,G03033,Naranammuzhi Gramapanchayath,112,Ranni,14,14,1.0000,1,10,3,1,0,UDF,10,LDF,3,NDA,1
G,Grama Panchayat,G03034,Vechoochira Gramapanchayath,112,Ranni,16,16,1.0000,1,12,3,1,0,UDF,12,LDF,3,NDA,1
G,Grama Panchayat,G03035,Konni Gramapanchayath,114,Konni,20,20,1.0000,1,11,6,2,1,UDF,11,LDF,6,NDA,2
